"","ID","Traffic Volume Count Location  Address","Street","Date of Count","Total Passing Vehicle Volume","Vehicle Volume By Each Direction of Traffic","Location","geometry"
"831",1075,"101 South","Clinton St","10/02/2006",11500,"South Bound: 11500/ Oneway South Bound","(41.880534, -87.64115)",c(-87.64115, 41.880534)
"832",328,"1073 South","Columbus Dr","04/26/2006",37900,"North Bound: 19000 / South Bound: 18900","(41.869368, -87.620509)",c(-87.620509, 41.869368)
"833",250,"20 West","31st St","04/25/2006",14400,"East Bound: 6900 / West Bound: 7500","(41.838289, -87.627562)",c(-87.627562, 41.838289)
"834",6,"758 West","71st Street","02/28/2006",21600,"East Bound: 10400 / West Bound: 11200","(41.765204, -87.644371)",c(-87.644371, 41.765204)
"835",1351,"417 South","Dearborn St","09/20/2006",15100,"North Bound: 15100 / / Oneway North Bound","(41.876483, -87.629253)",c(-87.629253, 41.876483)
"836",295,"67 East","Cermak Rd","04/25/2006",14700,"East Bound: 7500 / West Bound: 7200","(41.852861, -87.624414)",c(-87.624414, 41.852861)
"837",919,"3524 West","Belmont Ave","10/16/2006",27500,"East Bound: 17000 / West Bound: 10500","(41.93923, -87.716135)",c(-87.716135, 41.93923)
"838",1191,"6303 West","63rd St","10/25/2006",21200,"East Bound: 11300 / West Bound: 9900","(41.777719, -87.778939)",c(-87.778939, 41.777719)
"839",544,"400 South","Kostner Ave","09/05/2006",18700,"North Bound: 13700 / South Bound: 5000","(41.875108, -87.735281)",c(-87.735281, 41.875108)
"840",475,"5858 South","Archer Ave","09/12/2006",28700,"East Bound: 14300 / West Bound: 14400","(41.795919, -87.761047)",c(-87.761047, 41.795919)
"841",467,"6526 North","California Ave","08/23/2006",11400,"North Bound: 5600 / South Bound: 5800","(42.000202, -87.699716)",c(-87.699716, 42.000202)
"842",267,"410 East","47th St","04/27/2006",14700,"East Bound: 7100 / West Bound: 7600","(41.809396, -87.615874)",c(-87.615874, 41.809396)
"843",96,"2345 South","Archer Ave","03/08/2006",13300,"North Bound: 7100 / South Bound: 6200","(41.849975, -87.64032)",c(-87.64032, 41.849975)
"844",700,"323 North","Pulaski Rd","10/04/2006",24800,"North Bound: 12000 / South Bound: 12800","(41.886148, -87.725824)",c(-87.725824, 41.886148)
"845",992,"3324 North","Racine Ave","10/26/2006",8900,"North Bound: 5300 / South Bound: 3600","(41.942424, -87.659044)",c(-87.659044, 41.942424)
"846",190,"10 East","83rd St","03/23/2006",18400,"East Bound: 9100 / West Bound: 9300","(41.743649, -87.624723)",c(-87.624723, 41.743649)
"847",43,"10326 South","Dr Martin Luther King Jr Dr","02/28/2006",11100,"North Bound: 5300 / South Bound: 5800","(41.706494, -87.613745)",c(-87.613745, 41.706494)
"848",705,"209 North","Damen Ave","08/16/2006",20300,"North Bound: 11400 / South Bound: 8900","(41.885313, -87.676747)",c(-87.676747, 41.885313)
"849",512,"1521 West","Chicago Ave","10/18/2006",17100,"East Bound: 8100 / West Bound: 9000","(41.896097, -87.665698)",c(-87.665698, 41.896097)
"850",1163,"150 North","Wacker Dr","11/16/2006",23800,"North Bound: 11100 / South Bound: 12700","(41.884486, -87.637068)",c(-87.637068, 41.884486)
"851",777,"5653 North","East River Rd","08/16/2006",25300,"North Bound: 12100 / South Bound: 13200","(41.982087, -87.846432)",c(-87.846432, 41.982087)
"852",1114,"901 West","Lake St","11/14/2006",14100,"East Bound: 7200 / West Bound: 6900","(41.885625, -87.649854)",c(-87.649854, 41.885625)
"853",529,"446 West","119th St","08/29/2006",11500,"East Bound: 6000 / West Bound: 5500","(41.6779, -87.63412)",c(-87.63412, 41.6779)
"854",724,"6050 West","Addison St","11/07/2006",24200,"East Bound: 11800 / West Bound: 12400","(41.945751, -87.778573)",c(-87.778573, 41.945751)
"855",462,"30 East","Monroe St","09/19/2006",13000,"East Bound: 13000 / / Oneway East Bound","(41.880775, -87.626654)",c(-87.626654, 41.880775)
"856",1258,"8616 South","Commercial Ave","10/18/2006",13000,"North Bound: 6900 / South Bound: 6100","(41.738684, -87.551457)",c(-87.551457, 41.738684)
"857",1300,"9004 South","Jeffery Ave","09/06/2006",19300,"North Bound: 9200 / South Bound: 10100","(41.731433, -87.575581)",c(-87.575581, 41.731433)
"858",1305,"3235 West","103rd St","10/24/2006",31800,"East Bound: 14200 / West Bound: 17600","(41.706174, -87.702769)",c(-87.702769, 41.706174)
"859",633,"2435 North","Ashland Ave","08/29/2006",40200,"North Bound: 19800 / South Bound: 20400","(41.926152, -87.668181)",c(-87.668181, 41.926152)
"860",185,"65 East","79th St","03/28/2006",17600,"East Bound: 9400 / West Bound: 8200","(41.750997, -87.621988)",c(-87.621988, 41.750997)
"861",570,"5831 North","California Ave","08/23/2006",11400,"North Bound: 5400 / South Bound: 6000","(41.987697, -87.699307)",c(-87.699307, 41.987697)
"862",1014,"516 North","Wells St","09/19/2006",16300,"South Bound: 16300/ Oneway South Bound","(41.891353, -87.634063)",c(-87.634063, 41.891353)
"863",857,"10 South","Canal St","09/19/2006",12100,"North Bound: 12100 / / Oneway North Bound","(41.881585, -87.639674)",c(-87.639674, 41.881585)
"864",729,"6570 West","North Ave","10/18/2006",41700,"East Bound: 21600 / West Bound: 20100","(41.90909, -87.789897)",c(-87.789897, 41.90909)
"865",589,"8220 South","Kedzie Ave","08/15/2006",21300,"North Bound: 10600 / South Bound: 10700","(41.743683, -87.702226)",c(-87.702226, 41.743683)
"866",997,"2228 North","Southport Ave","10/17/2006",8700,"North Bound: 4400 / South Bound: 4300","(41.92249, -87.663226)",c(-87.663226, 41.92249)
"867",406,"1440 West","55th St","10/11/2006",35200,"East Bound: 18500 / West Bound: 16700","(41.794069, -87.662159)",c(-87.662159, 41.794069)
"868",283,"609 West","59th St","04/27/2006",14700,"East Bound: 6900 / West Bound: 7800","(41.787062, -87.640752)",c(-87.640752, 41.787062)
"869",1382,"3260 North","Western Ave (frontage rd)","10/24/2006",9900,"North Bound: 5000 / South Bound: 4900","(41.941149, -87.688219)",c(-87.688219, 41.941149)
"870",1223,"1229 West","31st St","10/19/2006",8600,"East Bound: 5500 / West Bound: 3100","(41.837896, -87.657173)",c(-87.657173, 41.837896)
"871",695,"324 South","Racine Ave","10/23/2006",12500,"North Bound: 7500 / South Bound: 5000","(41.876982, -87.657007)",c(-87.657007, 41.876982)
"872",233,"1031 South","Racine Ave","03/30/2006",10700,"North Bound: 6400 / South Bound: 4300","(41.86852, -87.656729)",c(-87.656729, 41.86852)
"873",526,"662 West","Belmont Ave","10/16/2006",20800,"East Bound: 10000 / West Bound: 10800","(41.940016, -87.646727)",c(-87.646727, 41.940016)
"874",132,"3225 South","Western Ave","03/22/2006",35300,"North Bound: 18100 / South Bound: 17200","(41.834882, -87.684561)",c(-87.684561, 41.834882)
"875",874,"5140 North","East River Rd","08/16/2006",22500,"North Bound: 11100 / South Bound: 11400","(41.973131, -87.846512)",c(-87.846512, 41.973131)
"876",1168,"1347 South","Ashland Ave","10/26/2006",38700,"North Bound: 20300 / South Bound: 18400","(41.863688, -87.666307)",c(-87.666307, 41.863688)
"877",808,"22 East","Division St","09/21/2006",8400,"East Bound: 4300 / West Bound: 4100","(41.903955, -87.627809)",c(-87.627809, 41.903955)
"878",662,"3228 North","Sheffield Ave","10/04/2006",9500,"North Bound: 5000 / South Bound: 4500","(41.940796, -87.654132)",c(-87.654132, 41.940796)
"879",555,"3238 West","Fullerton Ave","11/14/2006",33200,"East Bound: 15300 / West Bound: 17900","(41.924697, -87.709117)",c(-87.709117, 41.924697)
"880",1009,"2532 West","Washington St","10/05/2006",7000,"East Bound: 7000 / / Oneway East Bound","(41.882972, -87.689807)",c(-87.689807, 41.882972)
"881",374,"2653 West","Ogden Ave","05/09/2006",23900,"East Bound: 11900 / West Bound: 12000","(41.862371, -87.692771)",c(-87.692771, 41.862371)
"882",145,"8450 South","Stony Island Ave","03/14/2006",61500,"North Bound: 31300 / South Bound: 30200","(41.740553, -87.58573)",c(-87.58573, 41.740553)
"883",1234,"7331 South","Damen Ave","10/11/2006",20300,"North Bound: 10200 / South Bound: 10100","(41.760212, -87.673413)",c(-87.673413, 41.760212)
"884",1095,"3924 West","Grand Ave","11/16/2006",17400,"East Bound: 8700 / West Bound: 8700","(41.905556, -87.724905)",c(-87.724905, 41.905556)
"885",387,"11201 South","Cottage Grove Ave","10/04/2006",6700,"North Bound: 3300 / South Bound: 3400","(41.690928, -87.610268)",c(-87.610268, 41.690928)
"886",813,"1920 West","115th St","10/31/2006",6300,"East Bound: 3000 / West Bound: 3300","(41.684661, -87.670012)",c(-87.670012, 41.684661)
"887",596,"6210 South","Cicero Ave","10/23/2006",59900,"North Bound: 30400 / South Bound: 29500","(41.779921, -87.74234)",c(-87.74234, 41.779921)
"888",1041,"250 East","26th St","10/17/2006",8400,"East Bound: 3600 / West Bound: 4800","(41.845685, -87.620482)",c(-87.620482, 41.845685)
"889",496,"1645 West","Jackson Blvd","10/05/2006",5500,"East Bound: 5500 / / Oneway East Bound","(41.877595, -87.668568)",c(-87.668568, 41.877595)
"890",1277,"4851 West","Montrose Ave","08/29/2006",28100,"East Bound: 13800 / West Bound: 14300","(41.960698, -87.749607)",c(-87.749607, 41.960698)
"891",886,"1837 North","Harlem Ave","10/26/2006",26000,"North Bound: 13500 / South Bound: 12500","(41.91366, -87.805925)",c(-87.805925, 41.91366)
"892",903,"3725 North","Narragansett Ave","10/25/2006",24200,"North Bound: 11000 / South Bound: 13200","(41.948239, -87.786356)",c(-87.786356, 41.948239)
"893",218,"235 East","103rd St","03/28/2006",21700,"East Bound: 12300 / West Bound: 9400","(41.70726, -87.617296)",c(-87.617296, 41.70726)
"894",167,"642 East","67th St","03/28/2006",12600,"East Bound: 6100 / West Bound: 6500","(41.773084, -87.608939)",c(-87.608939, 41.773084)
"895",1129,"1215 North","Milwaukee Ave","10/30/2006",13800,"North Bound: 6700 / South Bound: 7100","(41.903687, -87.667)",c(-87.667, 41.903687)
"896",838,"25 North","Cicero Ave","10/23/2006",37000,"North Bound: 18300 / South Bound: 18700","(41.881365, -87.745317)",c(-87.745317, 41.881365)
"897",62,"8645 South","Jeffery Blvd","05/04/2006",19300,"North Bound: 9300 / South Bound: 10000","(41.737902, -87.575714)",c(-87.575714, 41.737902)
"898",564,"5105 West","Addison St","08/14/2006",22200,"East Bound: 11200 / West Bound: 11000","(41.946012, -87.754759)",c(-87.754759, 41.946012)
"899",766,"1548 North","Laramie Ave","10/23/2006",18400,"North Bound: 8400 / South Bound: 10000","(41.909168, -87.755815)",c(-87.755815, 41.909168)
"900",600,"5433 South","Central Ave","09/12/2006",27400,"North Bound: 14200 / South Bound: 13200","(41.793546, -87.762329)",c(-87.762329, 41.793546)
"901",1079,"40 East","Congress Pkwy","02/21/2007",40700,"East Bound: 20400 / West Bound: 20300","(41.875684, -87.626134)",c(-87.626134, 41.875684)
"902",623,"1629 North","Ashland Ave","08/31/2006",30700,"North Bound: 14100 / South Bound: 16600","(41.911509, -87.667716)",c(-87.667716, 41.911509)
"903",923,"5417 North","California Ave","08/15/2006",12800,"North Bound: 6400 / South Bound: 6400","(41.980023, -87.699055)",c(-87.699055, 41.980023)
"904",741,"4212 West","Armitage Ave","11/08/2006",17700,"East Bound: 9200 / West Bound: 8500","(41.917095, -87.732056)",c(-87.732056, 41.917095)
"905",78,"7732 South","South Shore Dr","03/09/2006",16400,"North Bound: 8100 / South Bound: 8300","(41.756313, -87.552698)",c(-87.552698, 41.756313)
"906",686,"5725 North","Broadway","08/24/2006",25900,"North Bound: 10900 / South Bound: 15000","(41.986182, -87.660145)",c(-87.660145, 41.986182)
"907",1105,"713 South","Homan Ave","09/27/2006",15700,"North Bound: 8100 / South Bound: 7600","(41.872269, -87.710736)",c(-87.710736, 41.872269)
"908",324,"3223 East","85th St","03/28/2006",12300,"East Bound: 6700 / West Bound: 5600","(41.741127, -87.545616)",c(-87.545616, 41.741127)
"909",23,"10101 South","Cottage Grove Ave","03/02/2006",12500,"North Bound: 5800 / South Bound: 6700","(41.710922, -87.60573)",c(-87.60573, 41.710922)
"910",1155,"646 South","State St","09/19/2006",31400,"North Bound: 20200 / South Bound: 11200","(41.873424, -87.627576)",c(-87.627576, 41.873424)
"911",940,"3630 North","Kimball Ave","10/09/2006",19600,"North Bound: 9600 / South Bound: 10000","(41.94751, -87.71274)",c(-87.71274, 41.94751)
"912",758,"6336 South","Harlem Ave","09/12/2006",58100,"North Bound: 29000 / South Bound: 29100","(41.778426, -87.800934)",c(-87.800934, 41.778426)
"913",311,"750 East","Pershing Rd","04/25/2006",9800,"East Bound: 4600 / West Bound: 5200","(41.823948, -87.607812)",c(-87.607812, 41.823948)
"914",1245,"1599 South","Racine Ave","10/04/2006",13100,"North Bound: 6600 / South Bound: 6500","(41.859764, -87.65648)",c(-87.65648, 41.859764)
"915",1324,"8538 South","South Chicago Ave","11/02/2006",16300,"North Bound: 8600 / South Bound: 7700","(41.739994, -87.569589)",c(-87.569589, 41.739994)
"916",172,"504 East","75th St","03/28/2006",16100,"East Bound: 8500 / West Bound: 7600","(41.758455, -87.612457)",c(-87.612457, 41.758455)
"917",760,"6312 South","California Ave","10/11/2006",16600,"North Bound: 6700 / South Bound: 9900","(41.778712, -87.69338)",c(-87.69338, 41.778712)
"918",955,"2257 West","Addison Ave","11/07/2006",21800,"East Bound: 10800 / West Bound: 11000","(41.946768, -87.6857)",c(-87.6857, 41.946768)
"919",449,"1418 West","Bryn Mawr Ave","10/24/2006",6500,"East Bound: 3600 / West Bound: 2900","(41.983538, -87.665686)",c(-87.665686, 41.983538)
"920",1044,"452 West","47th St","10/19/2006",19800,"East Bound: 9500 / West Bound: 10300","(41.809005, -87.637985)",c(-87.637985, 41.809005)
"921",113,"2123 South","Clark St","03/15/2006",12800,"North Bound: 7300 / South Bound: 5500","(41.853467, -87.630093)",c(-87.630093, 41.853467)
"922",358,"682 South","Des Plaines St","10/03/2006",6300,"South Bound: 6300/ Oneway South Bound","(41.873531, -87.643862)",c(-87.643862, 41.873531)
"923",1025,"5238 West","Division St","10/18/2006",18200,"East Bound: 8400 / West Bound: 9800","(41.90223, -87.75738)",c(-87.75738, 41.90223)
"924",1353,"400 South","State St","09/19/2006",24200,"North Bound: 14900 / South Bound: 9300","(41.876904, -87.627651)",c(-87.627651, 41.876904)
"925",796,"1111 North","Clark St","09/27/2006",14100,"North Bound: 4500 / South Bound: 9600","(41.902199, -87.631399)",c(-87.631399, 41.902199)
"926",1368,"5423 South","Lake Shore Dr","09/20/2006",103100,"North Bound: 54200 / South Bound: 48900","(41.797484, -87.580352)",c(-87.580352, 41.797484)
"927",443,"4637 West","Roosevelt Rd","10/19/2006",22600,"East Bound: 11500 / West Bound: 11100","(41.865941, -87.741303)",c(-87.741303, 41.865941)
"928",1330,"299 North","Dearborn St","01/09/2007",16600,"North Bound: 16600 / / Oneway North Bound","(41.886932, -87.629531)",c(-87.629531, 41.886932)
"929",291,"1248 West","Cermak Rd","04/25/2006",17300,"East Bound: 9000 / West Bound: 8300","(41.852464, -87.658227)",c(-87.658227, 41.852464)
"930",1187,"3642 West","47th St","08/10/2006",22300,"East Bound: 11200 / West Bound: 11100","(41.807974, -87.715402)",c(-87.715402, 41.807974)
"931",339,"15 East","Harrison ST","03/28/2006",5900,"East Bound: 2500 / West Bound: 3400","(41.87438, -87.627297)",c(-87.627297, 41.87438)
"932",1067,"2650 West","Chicago Ave","10/18/2006",18800,"East Bound: 8900 / West Bound: 9900","(41.895673, -87.693867)",c(-87.693867, 41.895673)
"933",64,"9633 South","Jeffery Ave","05/04/2006",7700,"North Bound: 4100 / South Bound: 3600","(41.719732, -87.57529)",c(-87.57529, 41.719732)
"934",1135,"1126 North","Orleans St","09/21/2006",19800,"North Bound: 10500 / South Bound: 9300","(41.902872, -87.637416)",c(-87.637416, 41.902872)
"935",83,"4605 South","State St","05/02/2006",21500,"North Bound: 11200 / South Bound: 10300","(41.810903, -87.626128)",c(-87.626128, 41.810903)
"936",223,"226 East","Garfield Blvd","03/14/2006",31800,"East Bound: 17100 / West Bound: 14700","(41.794746, -87.619558)",c(-87.619558, 41.794746)
"937",722,"6325 West","Fullerton Ave","08/17/2006",30300,"East Bound: 15000 / West Bound: 15300","(41.9237, -87.784023)",c(-87.784023, 41.9237)
"938",200,"282 West","87th Street","03/28/2006",15800,"East Bound: 7900 / West Bound: 7900","(41.736013, -87.63131)",c(-87.63131, 41.736013)
"939",853,"1728 North","Austin Ave","10/26/2006",20300,"North Bound: 9700 / South Bound: 10600","(41.911962, -87.775313)",c(-87.775313, 41.911962)
"940",205,"2108 West","95th Street","03/22/2006",25500,"East Bound: 13000 / West Bound: 12500","(41.721037, -87.675323)",c(-87.675323, 41.721037)
"941",363,"3027 South","Pitney Ct","05/04/2006",1800,"North Bound: 800 / South Bound: 1000","(41.838528, -87.662425)",c(-87.662425, 41.838528)
"942",1284,"400 East","130th St","08/29/2006",25100,"East Bound: 12200 / West Bound: 12900","(41.659124, -87.612421)",c(-87.612421, 41.659124)
"943",1282,"1400 West","119th St","08/24/2006",13300,"East Bound: 7100 / West Bound: 6200","(41.677599, -87.656654)",c(-87.656654, 41.677599)
"944",478,"4706 West","47th St","11/14/2006",30300,"East Bound: 14300 / West Bound: 16000","(41.807648, -87.741014)",c(-87.741014, 41.807648)
"945",20,"7346 South","Cottage Grove Ave","03/01/2006",17800,"North Bound: 8700 / South Bound: 9100","(41.760801, -87.605452)",c(-87.605452, 41.760801)
"946",1118,"1650 West","Madison St","10/05/2006",10500,"East Bound: 6000 / West Bound: 4500","(41.881427, -87.668678)",c(-87.668678, 41.881427)
"947",629,"1666 North","Narragansett Ave","10/25/2006",13000,"North Bound: 6300 / South Bound: 6700","(41.910958, -87.785061)",c(-87.785061, 41.910958)
"948",402,"2535 West","Pershing Rd","09/26/2006",12300,"East Bound: 6000 / West Bound: 6300","(41.822902, -87.688714)",c(-87.688714, 41.822902)
"949",772,"2708 North","Halsted St","11/09/2006",14500,"North Bound: 7200 / South Bound: 7300","(41.931822, -87.648979)",c(-87.648979, 41.931822)
"950",541,"209 South","Wells St","09/19/2006",11600,"South Bound: 11600/ Oneway South Bound","(41.87909, -87.633752)",c(-87.633752, 41.87909)
"951",907,"3130 North","Oak Park Ave","10/25/2006",17100,"North Bound: 7900 / South Bound: 9200","(41.937284, -87.795671)",c(-87.795671, 41.937284)
"952",1363,"111 East","Wacker(upper) Dr","11/07/2006",15200,"East Bound: 8500 / West Bound: 6700","(41.888169, -87.62409)",c(-87.62409, 41.888169)
"953",1335,"355 West","Lake St","10/02/2006",15000,"East Bound: 10700 / West Bound: 4300","(41.885725, -87.636864)",c(-87.636864, 41.885725)
"954",501,"3932 West","Madison St","11/15/2006",19300,"East Bound: 9600 / West Bound: 9700","(41.88074, -87.724539)",c(-87.724539, 41.88074)
"955",149,"5640 South","Stony Island Ave","03/14/2006",12500,"North Bound: 6600 / South Bound: 5900","(41.792127, -87.586689)",c(-87.586689, 41.792127)
"956",370,"1040 South","Wells St","05/11/2006",4200,"North Bound: 2000 / South Bound: 2200","(41.869272, -87.633488)",c(-87.633488, 41.869272)
"957",1173,"3658 West","Cermak Rd","09/14/2006",18000,"East Bound: 8900 / West Bound: 9100","(41.851632, -87.717386)",c(-87.717386, 41.851632)
